week,player_name,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_epa,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_yards_after_catch,receiving_epa,racr,target_share,wopr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,avg_rush_yards,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected
1,D.Singletary,6,16,0,0,-1.034920480567962,4,4,22,1,0,38,3.469418408232741,-1.375,0.13793103448275862,0.16118226600985222,NA,NA,NA,NA,NA,NA,NA,NA
1,T.Etienne,9,46,0,0,-1.8323405302362517,7,9,32,0,0,35,-0.9947978722189266,-16,0.17307692307692307,0.2567168338907469,NA,NA,NA,NA,NA,NA,NA,NA
1,B.Irving,8,45,1,0,3.555616171914153,7,7,48,0,1,73,-0.29903526476118714,-1.92,0.25925925925925924,0.26651126651126644,NA,NA,NA,NA,NA,NA,NA,NA
1,K.Monangai,10,100,1,0,2.459764665341936,2,2,24,0,0,15,1.4655994670465589,2.6666666666666665,0.07692307692307693,0.13513383168555582,2.1747,20,2.4365,10,49.53956052847866,50.46043947152134,5.046043947152134,0.4
2,D.Singletary,3,9,0,0,-1.3925581368384883,0,1,0,0,0,0,-1.49806567421183,-0,0.03125,0.044822214076246335,NA,NA,NA,NA,NA,NA,NA,NA
2,T.Etienne,8,25,0,0,0.38086737079732114,2,2,6,0,0,13,-0.4478769135894254,-0.8571428571428571,0.0625,0.07074530516431925,NA,NA,NA,NA,NA,NA,NA,NA
2,B.Irving,17,89,0,0,-0.1389371122349985,4,4,1,0,0,23,-2.3184698454570025,-0.045454545454545456,0.12121212121212122,0.145238609371626,3.376966292134832,0,2.9282666666666666,5.235294117647059,90.4657700591251,-1.4657700591251057,-0.08622176818382975,0.29411764705882354
2,K.Monangai,10,47,0,0,0.9509426158620045,2,2,11,0,0,10,-0.678499951667618,11,0.06666666666666667,0.10370370370370371,3.2580851063829788,40,2.6199000000000003,4.7,40.0642519907788,6.9357480092212,0.69357480092212,0.5
