player_name,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles_lost,passing_yards_after_catch,passing_cpoe,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_epa
M.Willis,29,50,417,1,1,9,-50,0,201,-8.743003964424133,0.8723849372384938,8,45,1,1,2.871923063590657
J.Dart,26,34,250,3,0,2,-1,0,88,10.629891209742603,0.8561643835616438,11,54,0,0,3.6880225634085946
