week,player_name,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles_lost,passing_yards_after_catch,passing_cpoe,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_epa,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,avg_air_yards_to_sticks,passer_rating,completion_percentage,expected_completion_percentage,avg_air_distance
1,M.Willis,15,27,220,0,1,5,-35,0,96,-8.850246557482967,0.7119741100323624,6,39,1,1,1.045894215523731,3.2108148148148152,7.764,12.04888888888889,-4.284888888888889,22.22222222222222,1.16,66.89814814814815,55.55555555555556,55.952592592592595,25.156739265759047
1,J.Dart,23,29,230,3,0,2,-1,0,86,13.383558186991461,0.9387755102040817,11,54,0,0,3.6880225634085946,2.6393793103448275,6.163043478260871,8.556896551724138,-2.3938530734632675,17.24137931034483,-0.2706896551724126,134.19540229885058,79.3103448275862,68.3851724137931,21.646678828208323
2,M.Willis,14,23,197,1,0,4,-15,0,105,-8.617110485615937,1.165680473372781,2,6,0,0,1.826028848066926,2.977478260869565,6.1521428571428585,6.438695652173914,-0.2865527950310556,8.695652173913043,-4.213478260869564,102.98913043478262,60.86956521739131,67.95565217391304,20.630177969809775
2,J.Dart,3,5,20,0,0,0,0,0,2,-5.341377258300781,0.425531914893617,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
